,�..O1,A1_1,A1_2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32
35,5/16/2020 13:49,Vietnamese,Asia,Female,Secondary school,A pet,16,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,4,4,4,3,4,2,5,3,4,4,4,5,4,2,5,More than 3 years,"Action, Adventure, Simulation, Strategy, puzzle",Almost everyday,3-4 hours,1. Everyday,Planting trees/flowers,i havent chosen an aesthetic for my island yet but i always try to add as much water scenery as possible,3,2,4,3,2,2,3,4,5,4,2,2,1,4,3,2,2,1,3,4,4,2,3,2,4,2,3,4,4,3,3,5,4,5,1,3,1,2,1,4,4,5,3,1,3,5,4,5,2,1,3,1,4,2,4,5,2,3,3,1
11,5/16/2020 0:50,Vietnam,Asia,Male,High school,A garden,17,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,4,3,5,3,5,1,4,5,4,3,5,3,4,3,5,More than 3 years,"RPG, Simulation",Almost everyday,2-3 hours,2. Almost everyday,Terraforming,Mountains,3,3,3,3,4,3,3,3,3,4,2,4,1,1,3,3,2,1,4,3,3,2,2,1,3,3,2,4,5,4,4,5,5,5,1,2,2,2,1,5,1,5,4,1,4,4,5,5,5,2,1,1,2,1,5,5,1,4,1,1
17,5/16/2020 1:56,Vietnam,Asia,Male,High school,A garden,17,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,4,3,3,3,5,1,4,4,4,2,3,2,3,1,4,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,3-4 hours,2. Almost everyday,Terraforming,"Modern, artificial",3,3,2,3,1,5,5,5,5,4,3,4,2,1,2,4,2,1,3,4,4,3,3,4,4,4,2,2,3,3,2,3,3,3,1,3,2,2,2,3,3,3,3,1,3,3,3,3,2,1,2,1,3,3,3,3,2,3,3,3
18,5/16/2020 2:02,Vietnam,Asia,Male,High school,A pet,17,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,4,1,5,3,4,3,4,2,4,3,4,2,3,1,4,More than 3 years,"Action, Adventure, RPG, MOBA",Everyday,2-3 hours,1. Everyday,Fishing,Old city style,3,3,2,2,1,4,4,3,3,4,1,4,1,3,3,4,3,2,4,2,2,1,1,4,4,4,1,4,4,4,4,5,3,5,2,2,3,3,4,5,1,3,3,1,2,5,5,5,2,1,4,2,1,2,5,3,1,1,1,1
43,5/16/2020 22:20,Friendly,Other,Male,High school,A garden,17,Asian,Married or domestic partnership,Out of work and looking for work,No,No self-isolation/social distancing,Worried,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,More than 3 years,Simulation,Every week,1-2 hours,2. Almost everyday,Fishing,M,3,3,3,3,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46,5/18/2020 2:50,canadian,US/Canada,Female,High school,Both,17,White,"Single, never married",A student,Yes,More than a month,Worried,4,2,4,2,4,2,5,4,4,5,4,3,4,3,4,1-2 years,"RPG, Strategy",Almost everyday,1-2 hours,1. Everyday,Fishing,winter cabin themes,3,4,2,3,3,5,4,5,2,4,2,4,2,2,3,3,2,3,3,3,2,2,2,3,3,4,4,4,4,4,3,4,4,4,1,3,1,4,1,5,3,4,4,2,4,4,4,4,4,1,1,1,4,3,4,3,1,4,3,1
246,5/23/2020 18:17,Norwegian,EU,Female,High school,A pet,17,White,Married or domestic partnership,Unable to work,Yes,More than a month,Worried,4,4,5,3,5,1,5,3,4,4,2,5,4,3,3,More than 3 years,Adventure,Almost everyday,5-8 hours,1. Everyday,Decorating ,A natural mountain forest look!,2,2,4,3,4,5,5,5,3,4,2,3,1,2,3,2,1,1,1,2,4,1,2,1,2,4,1,3,3,4,2,4,5,5,1,1,1,3,2,4,1,5,4,1,3,3,3,4,5,1,3,1,5,3,3,4,3,2,1,1
249,5/23/2020 23:34,New Zealander,Other,Male,High school,Both,17,White,"Single, never married",Out of work and looking for work,Yes,More than a month,A little,4,2,4,3,4,3,4,3,4,2,2,1,3,4,3,More than 3 years,FPS,Everyday,10-Jul,1. Everyday,Fishing,Ancient japanese,2,4,2,1,3,5,4,2,1,4,1,3,1,2,2,3,2,1,2,2,1,1,1,1,4,3,3,2,4,4,4,4,5,5,1,3,2,3,1,5,3,5,3,2,3,3,4,4,5,1,1,1,3,1,3,3,2,3,1,1
305,5/25/2020 1:14,Filipino,Asia,Female,High school,Both,17,Asian,"Single, never married",A student,Yes,More than a month,Worried,5,4,5,2,5,1,5,3,5,5,5,4,4,4,5,More than 3 years,"Action, Adventure",Almost everyday,1-2 hours,1. Everyday,Planting trees/flowers,Symmetrical ,4,3,4,3,4,5,5,5,5,4,2,4,1,2,4,3,2,4,3,4,4,3,1,2,4,4,3,4,5,4,5,5,5,5,2,2,2,3,3,5,5,5,4,1,4,5,5,5,5,2,4,2,5,5,5,5,2,5,4,2
511,5/25/2020 19:41,Filipino,Asia,Male,High school,Both,17,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,3,4,3,4,1,3,3,3,3,3,3,3,3,4,More than 3 years,"Action, Adventure, RPG, Simulation, Rhythm",Everyday,3-4 hours,1. Everyday,All.,I try my best to stick with my original layout/minimal terraforming.,4,4,3,3,3,5,5,5,4,4,2,4,1,3,3,3,2,2,3,3,4,1,1,1,4,2,4,4,4,4,5,5,5,5,1,2,2,2,1,5,2,5,4,1,4,5,5,5,5,1,1,1,4,1,4,5,1,5,2,1
571,5/26/2020 18:36,Filipino,Asia,Female,High school,A pet,17,Asian,"Single, never married",A student,Yes,More than a month,Very worried,4,3,5,2,5,1,5,2,5,3,5,5,4,3,5,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,3-4 hours,2. Almost everyday,Fishing,Just natural landscaping.,3,4,2,4,3,1,1,3,2,4,1,4,2,3,2,3,4,1,3,3,2,3,3,2,4,4,3,4,5,5,4,5,5,5,2,3,2,4,1,5,3,5,4,2,4,5,4,5,3,2,4,2,5,2,5,5,2,5,3,4
29,5/16/2020 9:10,Vietnam,Asia,Male,High school,None,18,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,3,4,4,4,4,1,5,1,5,3,5,4,5,3,3,1-2 years,"Action, Adventure, RPG",Almost everyday,2-3 hours,2. Almost everyday,Fishing,Maze,3,4,4,3,3,5,5,5,5,4,4,2,3,2,4,4,4,4,4,3,4,2,3,3,4,4,3,4,4,4,4,5,4,5,1,5,3,3,3,3,5,5,5,3,4,5,5,5,3,3,1,1,3,3,5,3,1,3,1,1
89,5/21/2020 0:51,German,EU,Female,High school,Both,18,White,"Single, never married",A student,Yes,More than a month,A little,3,4,5,3,5,1,5,4,4,5,4,5,5,3,4,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Everyday,5-6 hours,1. Everyday,Fishing,Building  rivers,4,4,3,2,3,5,5,5,5,4,2,4,3,1,2,3,2,3,3,4,4,2,3,2,4,3,3,3,4,4,2,4,5,5,1,3,4,2,2,5,4,5,3,3,3,5,5,5,4,3,4,3,4,4,4,5,3,4,3,4
94,5/21/2020 1:24,Singaporean,Asia,Female,High school,A pet,18,Asian,"Single, never married",A student,Yes,More than a month,A little,5,4,5,3,5,4,4,5,5,3,4,5,5,3,5,More than 3 years,"Adventure, RPG, Strategy",Everyday,3-4 hours,1. Everyday,Planning out the layout of my island,Natural with a little bit of development,4,4,3,3,3,5,5,5,5,4,2,3,1,2,4,4,4,2,3,4,4,2,3,1,4,3,2,3,5,4,2,5,5,5,1,2,2,5,1,5,4,5,5,1,5,5,5,5,4,2,2,1,4,1,5,5,1,5,5,2
107,5/21/2020 3:25,British,EU,Male,High school,Both,18,White,"Single, never married",A student,Yes,More than a month,Worried,3,2,4,1,5,4,3,4,3,5,3,1,2,1,5,More than 3 years,"Action, Adventure, Simulation",Almost everyday,3-4 hours,1. Everyday,"Completing daily tasks, improving my island and unlocking new item",Unsure what this means. Also should be “when you are terraforming”,4,4,3,3,3,5,5,5,4,4,2,4,1,1,3,4,2,1,2,2,4,1,1,2,1,3,4,2,4,5,3,5,5,5,1,1,1,5,1,5,4,5,4,2,4,4,3,5,2,1,1,1,5,3,5,5,1,5,5,2
133,5/21/2020 4:46,USA,US/Canada,Male,High school,Both,18,White,"Single, never married",A student,Yes,More than 2 weeks,Worried,4,3,4,1,3,1,4,4,4,2,3,1,4,4,5,More than 3 years,"Strategy, Sports",Everyday,2-3 hours,1. Everyday,Fishing,fishing,3,4,2,3,3,5,4,3,5,4,3,2,4,3,4,3,3,3,2,3,3,4,2,4,3,4,2,4,4,2,3,4,5,3,3,2,5,3,4,3,4,2,5,5,4,3,4,5,2,4,3,4,5,2,5,4,2,3,4,5
169,5/21/2020 9:21,U.S.,US/Canada,Female,High school,A pet,18,Pacific Islander,"Single, never married",A student,Yes,More than a month,Worried,4,4,4,4,4,2,4,4,5,4,4,4,4,2,4,More than 3 years,"RPG, Simulation",Everyday,2-3 hours,1. Everyday,Planting trees/flowers,Outdoor cafe,4,3,4,3,3,5,5,5,5,3,4,3,3,3,4,3,3,3,2,4,4,4,3,3,4,3,4,4,5,5,5,5,5,5,1,1,1,5,3,5,5,5,5,1,5,5,5,5,5,1,1,1,1,1,5,5,1,5,1,1
276,5/24/2020 23:05,White British ,EU,Female,High school,Both,18,White,"Single, never married",Employed for wages,Yes,More than a month,A little,4,3,5,4,5,1,5,4,5,4,3,3,3,3,4,1-2 years,"Adventure, RPG, Simulation, Strategy",Everyday,6-May,1. Everyday,Terraforming,Natural,3,4,4,4,4,5,5,5,5,4,2,4,2,2,4,4,4,1,2,4,4,3,3,1,4,4,1,3,5,5,5,5,5,5,1,1,1,5,1,5,5,4,4,3,5,5,5,5,5,3,3,2,5,5,5,5,2,3,3,1
341,5/25/2020 5:32,Polish-American,US/Canada,Female,High school,Both,18,White,"Single, never married",A student,Yes,More than a month,Worried,4,3,4,3,5,3,5,4,4,5,5,5,4,3,5,More than 3 years,"Adventure, Simulation, Strategy",Almost every week,1-2 hours,1. Everyday,Decorating ,Natural,3,3,3,2,2,5,5,5,4,4,3,4,1,2,3,4,2,3,4,3,4,2,1,1,4,4,3,4,3,3,3,4,4,5,2,1,1,4,2,5,5,5,4,4,5,4,3,5,5,3,2,2,5,1,3,5,2,3,5,2
444,5/25/2020 9:31,Filipino,Asia,Female,High school,A pet,18,Asian,Married or domestic partnership,A student,Yes,More than a month,A little,3,2,3,3,4,1,5,1,5,3,4,4,4,2,4,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,More than 5 hours,2. Almost everyday,Interacting with my villagers,Open-wide,3,3,4,3,2,5,5,5,5,4,2,4,1,1,2,4,2,3,2,3,4,2,4,3,4,4,3,4,4,3,3,4,4,5,2,3,2,3,1,5,3,4,4,2,3,4,4,5,4,2,1,1,4,3,4,4,1,4,3,3
498,5/25/2020 16:54,Filipino,Asia,Female,High school,A pet,18,Asian,"Single, never married",A student,No,More than a month,Worried,2,2,4,2,5,2,4,4,4,5,2,2,4,4,4,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,10-12 hours,1. Everyday,Planting trees/flowers,Natural,4,4,4,3,3,5,5,5,5,4,2,4,3,3,3,3,3,2,3,4,4,2,2,3,4,4,2,3,2,4,3,4,5,4,3,3,3,3,1,5,4,4,4,3,4,3,3,4,3,4,4,3,4,2,5,3,1,4,3,4
503,5/25/2020 17:39,Australian,Other,Female,High school,Both,18,White,"Single, never married",A student,Yes,More than a month,Worried,4,4,4,3,5,3,5,4,4,5,3,4,4,2,5,More than 3 years,"RPG, Simulation",Almost everyday,1-2 hours,1. Everyday,Interacting with the island residents,I prefer islands that are easy to move around without needing the pole or ladder.,4,4,3,3,2,5,5,2,5,4,2,4,1,2,2,3,2,2,2,2,4,2,2,1,4,3,2,2,4,3,4,4,4,4,2,2,2,4,3,4,3,4,4,2,3,4,4,4,3,3,2,2,4,3,3,4,2,4,3,2
505,5/25/2020 17:48,Australian,Other,Female,Undergraduate school,A garden,18,White,"Single, never married",A student,Yes,More than 3 weeks,Worried,4,3,4,2,4,1,5,3,5,4,2,4,4,2,4,More than 3 years,"Adventure, RPG, Simulation",Everyday,1-2 hours,1. Everyday,Planting trees/flowers,I like making ponds the most- it’s the lowest stress,4,4,4,2,3,5,5,5,5,4,2,4,3,3,4,4,2,4,3,4,3,2,2,3,4,4,4,4,5,4,5,5,5,5,1,2,2,4,1,5,2,5,4,1,4,4,5,5,5,2,1,1,3,3,4,4,1,5,2,1
609,5/30/2020 16:25,Filipino,Asia,Female,High school,None,18,Asian,"Single, never married",Retired,Yes,More than a month,Very worried,4,3,4,2,4,1,3,3,4,3,3,3,3,2,4,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2-3 hours,1. Everyday,Catching bugs,japan ,3,3,3,1,3,2,2,2,2,3,2,3,1,1,2,3,3,3,1,2,1,1,1,1,3,3,2,3,3,2,2,2,2,3,1,2,2,3,2,3,1,2,2,2,2,3,3,2,3,1,1,1,2,3,3,3,1,2,2,2
36,5/16/2020 13:56,Vietnam,Asia,Male,Graduate school and higher,A garden,19,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Very worried,3,4,5,3,5,1,4,2,3,2,3,3,3,2,4,More than 3 years,"Action, Adventure, RPG, Simulation",Every week,2-3 hours,1. Everyday,Terraforming,Secret and scary ,3,4,2,4,1,5,5,4,4,4,3,3,2,2,4,3,2,2,2,2,2,2,2,2,4,3,2,3,4,4,2,5,5,5,1,2,1,2,1,5,4,5,4,2,4,5,5,5,3,1,1,1,1,2,3,3,1,4,1,2
59,5/20/2020 23:10,British,EU,Female,High school,Both,19,White,"Single, never married",A student,Yes,More than a month,A little,4,3,3,5,5,2,4,4,5,5,4,5,4,2,5,More than 3 years,"Adventure, Simulation",Everyday,3-4 hours,1. Everyday,Terraforming,Natural forest ,4,4,4,4,3,5,5,5,5,4,1,4,1,2,4,4,3,2,3,3,4,4,1,3,4,4,1,1,5,5,5,5,5,5,1,1,1,4,1,5,4,5,5,1,4,4,4,4,4,1,1,1,5,3,4,4,1,4,2,4
158,5/21/2020 6:13,USA,US/Canada,Female,Undergraduate school,None,19,White,"Single, never married",Out of work but not currently looking for work,Yes,More than a week,Very worried,4,3,5,2,2,1,4,2,3,1,4,1,2,2,3,More than 3 years,"RPG, Strategy, Sports",Everyday,1-2 hours,2. Almost everyday,Terraforming,Terrain reconstruction,3,2,2,4,3,3,3,4,2,2,2,3,2,3,2,4,4,3,2,2,2,3,2,3,3,2,2,3,3,4,3,4,4,3,4,3,2,4,3,4,3,5,4,3,3,4,3,5,4,2,1,2,4,2,3,4,3,2,2,4
218,5/22/2020 10:52,Filipino,Asia,Male,High school,Both,19,Asian,"Single, never married",A student,Yes,More than a month,Worried,4,3,4,2,3,2,4,2,5,3,3,5,3,4,3,More than 3 years,"Adventure, Simulation, Strategy",Almost everyday,1-2 hours,1. Everyday,Planting trees/flowers,making it even,3,3,3,3,1,4,4,4,4,4,3,4,1,1,4,4,3,1,1,4,4,4,1,2,3,3,2,3,5,4,4,5,3,4,1,3,2,4,1,5,1,5,4,1,4,4,4,4,3,2,1,1,3,2,4,3,2,5,1,2
228,5/23/2020 1:49,American ,US/Canada,Female,High school,A pet,19,Asian,"Single, never married",A student,Yes,More than a month,Worried,5,4,4,2,5,2,5,5,5,5,4,5,4,4,5,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,3-4 hours,1. Everyday,Fishing,Natural. ,4,4,3,3,3,4,4,4,4,4,2,4,1,2,2,4,4,3,2,3,4,2,1,2,4,4,2,3,5,4,4,5,5,5,1,1,1,5,1,5,5,5,4,1,4,3,4,5,5,3,1,1,5,3,5,5,1,5,5,1
234,5/23/2020 2:14,American,US/Canada,Male,High school,Both,19,Hispanic or Latino,"Single, never married",Military,Yes,More than a month,A little,3,3,4,4,5,2,3,2,4,4,4,3,5,4,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2-3 hours,1. Everyday,Fishing,Dense island,3,4,3,3,3,5,5,4,3,4,2,4,1,1,3,4,3,4,4,3,2,2,4,1,4,2,3,4,4,3,3,5,5,5,2,3,1,3,1,5,4,4,4,1,5,5,5,5,4,1,2,1,5,2,4,4,1,5,3,2
235,5/23/2020 2:53,White,EU,Female,High school,Both,19,White,"Single, never married",A student,Yes,More than a month,Worried,5,3,5,1,5,2,5,4,5,5,5,5,5,4,5,2-3 years,Simulation,Almost everyday,3-4 hours,1. Everyday,Making designs,Cottagecore,2,2,4,4,4,2,2,5,5,4,1,3,2,2,4,4,4,4,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,1,1,2,2,2,5,4,5,5,1,5,5,5,5,5,3,1,1,1,2,5,5,1,5,5,2
250,5/24/2020 0:06,Canadian,US/Canada,Female,High school,A garden,19,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,4,3,3,3,4,3,3,4,4,4,5,3,5,3,4,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,30,1. Everyday,Taking to my villagers ,Both,3,3,3,3,3,5,5,3,3,4,2,4,3,2,2,3,4,1,3,3,3,2,4,4,4,3,3,4,4,4,3,4,4,4,1,3,3,3,3,5,4,4,4,3,4,3,4,4,4,2,2,2,4,3,3,3,3,3,3,3
255,5/24/2020 22:22,British,EU,Female,Undergraduate school,Both,19,White,Married or domestic partnership,A student,No,1 day,Not at all,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,2-3 years,Adventure,Almost everyday,3-4 hours,2. Almost everyday,Terraforming,Water,3,3,4,4,4,5,5,5,5,4,1,4,1,3,4,4,4,4,1,4,4,1,1,4,4,4,1,4,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,1,5,5,5,5,1,1,1,5,1,5,5,1,5,5,1
260,5/24/2020 22:30,British,EU,Female,Undergraduate school,Both,19,White,"Single, never married",A student,No,No self-isolation/social distancing,Very worried,3,4,4,5,5,2,5,5,3,4,5,5,4,2,5,More than 3 years,"Action, Adventure",Almost everyday,50+ hours ,2. Almost everyday,Fishing,Natural,4,4,1,1,3,5,5,3,4,4,1,4,1,1,1,1,3,3,3,3,4,1,1,1,3,4,1,4,4,4,5,5,5,5,1,5,1,5,1,5,5,5,5,1,5,5,5,5,5,1,1,1,5,3,4,5,1,5,5,1
272,5/24/2020 22:58,Scottish,EU,Female,High school,Both,19,White,"Single, never married",Out of work but not currently looking for work,Yes,More than a month,A little,4,3,3,3,5,1,5,3,5,3,5,3,5,3,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,12+  (I don’t keep count),2. Almost everyday,Fishing,Japanese themes/natural looking ,4,4,4,3,2,5,5,5,5,4,2,4,1,1,3,4,3,2,3,3,4,1,3,1,4,3,2,3,4,4,5,5,5,5,1,3,2,2,1,5,5,3,4,3,2,4,4,4,4,1,1,1,5,1,4,4,1,2,4,1
304,5/25/2020 1:11,Filipino,Asia,Female,High school,Both,19,Asian,"Single, never married",A student,Yes,More than a month,Worried,4,1,5,1,5,1,5,1,5,1,5,4,5,1,5,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,3-4 hours,1. Everyday,Watering other people’s flowers for bells,I still did not unlock terraforming yet,2,3,3,1,4,5,5,5,5,4,2,4,1,3,2,4,4,4,2,2,2,2,2,2,4,4,3,4,5,5,5,5,5,5,1,2,3,5,5,5,4,5,2,1,3,3,5,5,3,1,1,2,4,4,5,5,1,5,4,3
312,5/25/2020 2:41,British ,EU,Female,Undergraduate school,Both,19,White,"Single, never married",A student,Yes,More than 2 weeks,Worried,3,3,4,4,5,2,5,4,4,4,4,5,4,3,4,More than 3 years,"Adventure, Simulation",Almost everyday,2-3 hours,2. Almost everyday,Making clothes ,I don’t really have a specific theme ,3,3,3,3,3,4,4,5,4,4,2,4,3,2,3,3,2,3,2,4,4,2,2,2,3,4,4,3,5,4,3,5,5,5,2,3,2,4,3,5,2,4,4,2,4,4,5,4,4,2,2,1,4,4,4,4,2,4,3,1
342,5/25/2020 5:33,American,US/Canada,Female,High school,A pet,19,White,"Single, never married",A student,Yes,More than 3 weeks,Worried,4,3,4,2,4,2,4,4,4,4,3,4,4,4,4,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,2-3 hours,2. Almost everyday,Terraforming,Natural/ cozy woodland,3,3,2,4,4,5,5,5,5,4,3,4,2,1,3,4,2,1,3,3,4,2,2,2,4,3,3,4,5,4,4,5,5,4,2,2,2,4,1,4,4,5,5,2,5,5,5,5,4,1,1,1,4,1,4,4,1,4,2,1
