,Gamer_ID,Date of Entry,A1_1,Grouped A1_1,A1_2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,CC2,C3,C4,Corrected C4,C5,C6,CC6,C7,C8,CC8,C9,C10,CC10,C11,C12,CC12,C13,C14,CC14,C15,Weighted Score,Good or Bad,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,Action,Adventure,FPS,Fighting,Pointandclick,RPG,Simulation,Sports,Story-driven,Strategy,Variedthemesallinonegameex:recroom,puzzle,vrchat
10,11,5/16/2020 0:50,Vietnam,Vietnamese,Asia,Male,High school,A garden,17,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,4,3,2,5,3,2,5,1,4,4,5,0,4,3,2,5,3,2,4,3,2,5,3.333333333,Good,More than 3 years,"RPG, Simulation",Almost everyday,2.5,2. Almost everyday,Terraforming,Mountains,3,3,3,3,4,3,3,3,3,4,2,4,1,1,3,3,2,1,4,3,3,2,2,1,3,3,2,4,5,4,4,5,5,5,1,2,2,2,1,5,1,5,4,1,4,4,5,5,5,2,1,1,2,1,5,5,1,4,1,1,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
11,12,5/16/2020 0:52,Vietnam,Vietnamese,Asia,Male,High school,None,23,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,5,4,1,4,3,2,5,2,3,3,5,0,4,5,0,5,5,0,4,3,2,5,2.866666667,Bad,More than 3 years,"Action, RPG, Simulation",Everyday,2.5,2. Almost everyday,Talking with villagers and contemplating the scenery,My old video game. A game about farming and rural area,4,3,2,4,2,3,4,3,5,4,2,4,1,2,3,3,2,3,1,2,4,1,2,1,4,1,1,3,4,2,1,4,4,5,1,3,2,1,1,4,3,5,2,1,3,3,4,5,2,1,1,1,3,1,4,3,1,4,2,1,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
12,13,5/16/2020 0:55,China,Chinese,Asia,Female,Undergraduate school,A garden,22,Asian,"Single, never married",Out of work and looking for work,Yes,6 days,A little,3,4,1,3,4,1,4,2,3,2,3,2,3,3,2,4,5,0,3,3,2,3,2.4,Bad,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,2.5,3. Every week,Catching bugs,Horror style,2,3,2,1,1,5,5,2,2,4,2,4,1,3,3,3,2,1,2,4,4,2,3,1,2,3,2,4,4,3,3,4,3,4,2,3,2,3,2,3,1,5,3,2,2,2,3,4,2,1,3,2,1,2,4,3,1,2,1,2,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
13,14,5/16/2020 1:08,Vietnam,Vietnamese,Asia,Male,High school,None,20,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,2,3,2,4,2,3,4,1,4,5,3,2,5,4,1,4,4,1,4,3,2,5,3.2,Good,More than 3 years,"Action, RPG, 2D Fighter",Almost everyday,1.5,2. Almost everyday,Fishing,Urban-themed stuff,4,4,3,3,3,5,5,3,3,4,2,3,2,2,3,3,2,3,4,3,2,2,2,4,4,4,1,3,5,3,2,5,3,5,1,3,3,4,1,5,2,5,4,1,3,3,4,5,5,1,1,1,2,5,5,3,1,3,1,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
14,15,5/16/2020 1:16,Viet Nam,Vietnamese,Asia,Male,Graduate school and higher,Both,27,Asian,Married or domestic partnership,Employed for wages,Yes,More than a month,Very worried,4,3,2,4,3,2,4,1,4,4,4,1,4,4,1,5,1,4,3,3,2,4,3.2,Good,More than 3 years,"Action, Adventure",Everyday,3.5,1. Everyday,Terraforming,Japaneses,2,4,2,4,3,5,5,5,4,4,2,4,1,2,3,4,4,2,2,3,2,2,1,2,4,4,1,4,5,5,2,5,4,5,1,5,1,5,1,5,3,5,5,1,4,5,5,5,3,1,1,1,2,2,5,5,1,5,1,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
15,16,5/16/2020 1:37,Vietnam,Vietnamese,Asia,Male,Graduate school and higher,None,26,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,A little,3,3,2,4,3,2,4,3,2,4,2,3,4,3,2,3,2,3,4,1,4,3,3.133333333,Good,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,3.5,1. Everyday,Complete the catalog,Natural,3,3,2,2,2,5,5,5,5,4,2,4,1,3,2,3,3,2,2,2,2,1,1,2,3,3,1,2,5,5,3,5,5,5,1,3,4,4,3,5,4,5,5,1,1,3,2,5,5,1,3,1,4,5,5,5,1,5,1,1,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
16,17,5/16/2020 1:56,Vietnam,Vietnamese,Asia,Male,High school,A garden,17,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,4,3,2,3,3,2,5,1,4,4,4,1,4,2,3,3,2,3,3,1,4,4,3.266666667,Good,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,3.5,2. Almost everyday,Terraforming,"Modern, artificial",3,3,2,3,1,5,5,5,5,4,3,4,2,1,2,4,2,1,3,4,4,3,3,4,4,4,2,2,3,3,2,3,3,3,1,3,2,2,2,3,3,3,3,1,3,3,3,3,2,1,2,1,3,3,3,3,2,3,3,3,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
17,18,5/16/2020 2:02,Vietnam,Vietnamese,Asia,Male,High school,A pet,17,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,4,1,4,5,3,2,4,3,2,4,2,3,4,3,2,4,2,3,3,1,4,4,3.466666667,Good,More than 3 years,"Action, Adventure, RPG, MOBA",Everyday,2.5,1. Everyday,Fishing,Old city style,3,3,2,2,1,4,4,3,3,4,1,4,1,3,3,4,3,2,4,2,2,1,1,4,4,4,1,4,4,4,4,5,3,5,2,2,3,3,4,5,1,3,3,1,2,5,5,5,2,1,4,2,1,2,5,3,1,1,1,1,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
18,19,5/16/2020 2:37,Vietnamese,Vietnamese,Asia,Male,High school,None,22,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,5,3,2,4,2,3,4,2,3,3,1,4,3,4,1,5,2,3,3,3,2,4,3.266666667,Good,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1.5,2. Almost everyday,Terraforming,Ancient ruins,2,3,3,4,2,4,2,4,4,2,4,4,2,1,4,4,4,3,1,4,3,4,2,3,3,4,3,3,4,3,2,4,2,4,2,2,1,1,1,4,1,4,3,2,4,4,5,4,2,1,1,1,2,3,3,2,1,2,1,1,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
19,20,5/16/2020 2:54,Vietnamese,Vietnamese,Asia,Male,High school,None,21,Asian,"Single, never married",A student,Yes,More than a month,Not at all,4,2,3,4,3,2,5,2,3,4,4,1,5,5,0,4,5,0,5,2,3,5,3.2,Good,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,3.5,2. Almost everyday,Catching bugs,Japanese/East Asian,4,4,4,4,3,4,5,5,5,4,3,4,3,2,3,4,4,2,3,3,3,2,3,4,4,3,4,4,5,3,2,5,4,5,1,2,3,2,1,5,2,5,3,2,3,4,4,5,3,2,1,1,3,2,4,4,2,5,2,3,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
20,21,5/16/2020 2:55,Vietnamese,Vietnamese,Asia,Female,Undergraduate school,None,20,Asian,"Single, never married",Out of work and looking for work,Yes,5 days,Worried,4,5,0,4,5,0,4,2,3,2,5,0,4,2,3,4,5,0,5,4,1,5,2.6,Bad,More than 3 years,"RPG, Strategy",Almost every week,1.5,No,Planting trees/flowers,Animals,1,1,1,1,1,1,1,1,1,4,2,4,4,1,4,4,2,2,4,4,1,4,4,1,1,1,1,1,5,3,4,4,4,4,1,5,1,1,1,5,2,5,5,1,5,5,5,5,1,1,1,1,4,4,5,5,1,4,1,1,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
21,22,5/16/2020 3:10,Vietnamese,Vietnamese,Asia,Female,Undergraduate school,A pet,22,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,5,3,2,2,3,2,5,3,2,5,5,0,5,4,1,4,5,0,3,3,2,5,2.866666667,Bad,More than 3 years,"RPG, Simulation, Strategy",Less than every month,1.5,2. Almost everyday,"Collecting all items (bugs, fish, furniture and outfits), trading turnips","Sorry, not entirely sure what the question entails, but I guess I usually go for something that looks natural, island-like style rather than urban, city-like style",4,4,4,3,2,4,5,4,5,4,1,3,1,2,3,3,2,1,3,4,4,3,2,1,4,4,3,4,4,4,5,5,4,5,1,2,3,4,2,4,3,4,4,2,3,5,5,4,4,3,3,2,4,4,5,3,2,4,3,1,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
22,23,5/16/2020 3:14,Vietnam,Vietnamese,Asia,Male,High school,None,23,Asian,"Single, never married",Self-employed,No,No self-isolation/social distancing,Worried,3,4,1,1,5,0,1,5,0,2,5,0,3,5,0,2,3,2,2,4,1,2,1.333333333,Bad,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,6.5,1. Everyday,Terraforming,Like natural resorts,2,2,2,2,1,4,4,4,4,4,1,4,1,1,2,4,2,1,1,2,3,1,1,3,1,2,1,1,3,3,3,3,2,3,1,3,2,2,1,3,1,3,3,1,3,3,3,3,3,1,1,1,2,3,3,3,1,3,1,1,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
23,24,5/16/2020 3:30,Vietnam,Vietnamese,Asia,Male,Graduate school and higher,None,26,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,5,4,1,4,1,4,5,1,4,5,2,3,5,1,4,5,4,1,5,3,2,5,3.866666667,Good,More than 3 years,"Action, Adventure, RPG",Everyday,3.5,1. Everyday,Harassing the villagers,Mix type - wild world and city theme,4,4,3,4,4,5,5,5,5,4,4,4,1,3,3,3,3,3,4,3,4,3,3,4,4,4,4,4,5,5,5,5,5,5,4,3,2,2,1,5,5,5,2,1,5,5,5,5,5,1,3,1,5,5,5,5,2,5,5,2,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
24,25,5/16/2020 3:35,Vietnamese,Vietnamese,Asia,Female,High school,A pet,22,Asian,"Single, never married",A student,No,More than a month,Worried,4,5,0,5,3,2,4,2,3,5,4,1,5,4,1,3,5,0,4,4,1,5,2.866666667,Bad,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1.5,1. Everyday,Talking to villagers,"Suburban, tropical",4,4,3,3,4,5,5,5,5,4,1,4,1,2,3,4,2,1,3,3,4,1,1,1,4,3,2,1,5,3,3,5,2,5,1,2,1,1,1,5,3,5,4,1,3,4,4,5,5,1,1,1,3,1,4,3,1,3,3,1,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
25,26,5/16/2020 6:51,Vietnamese,Vietnamese,Asia,Male,Graduate school and higher,Both,37,Asian,Married or domestic partnership,Employed for wages,Yes,More than a month,Worried,4,5,0,3,3,2,5,2,3,1,5,0,5,2,3,5,5,0,3,4,1,5,2.666666667,Bad,More than 3 years,"Action, Adventure, RPG, Strategy, Sports",Everyday,2.5,No,Not yet play,No idea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No
26,27,5/16/2020 7:16,Vietnam,Vietnamese,Asia,Male,Graduate school and higher,Both,20,Asian,"Single, never married",Self-employed,Yes,More than a month,Not at all,5,3,2,4,3,2,4,1,4,3,1,4,4,1,4,4,3,2,4,4,1,4,3.4,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Farming / Chill",Almost everyday,2.5,2. Almost everyday,Catching bugs,Paragon,4,4,2,2,3,5,5,5,5,4,3,2,1,2,3,2,2,2,4,4,4,2,3,3,4,4,2,2,4,4,1,3,3,4,2,2,2,5,3,5,5,5,5,3,3,4,4,4,4,4,2,3,5,4,3,3,2,3,3,1,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
27,28,5/16/2020 9:04,Vietnamese,Vietnamese,Asia,Male,High school,A garden,16,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,3,2,3,2,2,3,5,1,4,3,3,2,3,3,2,5,1,4,4,3,2,4,3.266666667,Good,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,1.5,5. Every month,Terraforming,Forest,3,3,4,4,1,3,3,3,4,2,3,2,2,1,4,4,4,3,3,4,2,3,1,2,2,2,2,2,4,3,4,4,3,5,1,1,2,1,1,5,2,5,3,1,4,4,4,5,3,1,1,1,2,2,4,3,1,4,1,1,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
28,29,5/16/2020 9:10,Vietnam,Vietnamese,Asia,Male,High school,None,18,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,3,4,1,4,4,1,4,1,4,5,1,4,5,3,2,5,4,1,5,3,2,3,3.266666667,Good,1-2 years,"Action, Adventure, RPG",Almost everyday,2.5,2. Almost everyday,Fishing,Maze,3,4,4,3,3,5,5,5,5,4,4,2,3,2,4,4,4,4,4,3,4,2,3,3,4,4,3,4,4,4,4,5,4,5,1,5,3,3,3,3,5,5,5,3,4,5,5,5,3,3,1,1,3,3,5,3,1,3,1,1,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
29,30,5/16/2020 10:08,Vietnamese,Vietnamese,Asia,Male,Undergraduate school,Both,25,Asian,Married or domestic partnership,Self-employed,No,No self-isolation/social distancing,A little,5,2,3,3,2,3,4,2,3,4,2,3,5,2,3,4,2,3,2,2,3,5,3.533333333,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1.5,2. Almost everyday,Fishing,Nature and lovely,3,4,4,3,4,3,2,3,2,3,4,4,2,1,4,3,2,4,4,4,2,4,3,4,4,4,4,4,5,4,4,4,5,5,2,3,2,3,3,4,1,3,3,2,3,4,5,4,3,2,2,2,3,3,4,4,2,3,2,2,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
30,31,5/16/2020 10:17,Vietnamese,Vietnamese,Asia,Male,Undergraduate school,Both,22,Asian,"Single, never married",A student,No,No self-isolation/social distancing,A little,3,2,3,4,2,3,4,2,3,4,1,4,5,3,2,5,3,2,4,2,3,5,3.6,Good,More than 3 years,"Action, RPG, Simulation, Strategy",Everyday,2.5,3. Every week,Planting trees/flowers,cute,2,3,4,3,3,3,3,4,4,3,3,4,3,2,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,3,3,2,4,2,2,3,1,1,3,2,3,4,2,3,3,3,4,4,1,1,1,1,2,2,2,1,2,1,1,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
31,32,5/16/2020 10:53,Vietnam,Vietnamese,Asia,Male,Undergraduate school,None,22,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,5,4,1,4,4,1,5,2,3,4,5,0,5,5,0,5,5,0,4,4,1,4,2.8,Bad,More than 3 years,"Action, Adventure, Sports",Almost every week,1.5,2. Almost everyday,Planting trees/flowers,No idea ,3,3,4,2,1,2,2,2,4,3,1,4,1,2,3,4,2,4,1,4,1,1,1,4,3,1,1,3,4,2,1,4,2,4,1,1,1,3,2,2,1,4,3,2,4,3,4,4,4,2,1,1,4,2,2,3,1,2,1,1,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
32,33,5/16/2020 11:00,Viet nam,Vietnamese,Asia,Male,Graduate school and higher,A pet,28,Asian,Married or domestic partnership,Employed for wages,Yes,1 day,Worried,3,3,2,4,3,2,2,3,2,3,4,1,3,3,2,3,4,1,3,3,2,2,2.333333333,Bad,More than 3 years,"Action, Adventure, Sports",Everyday,3.5,3. Every week,Fishing,Japan,3,2,2,3,2,3,4,4,3,3,2,3,4,3,3,2,2,2,3,3,3,2,3,3,3,2,3,3,3,4,4,3,4,5,2,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,3,3,3,4,3,4,3,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
33,34,5/16/2020 12:55,Vietnam,Vietnamese,Asia,Female,Graduate school and higher,Both,25,Asian,Married or domestic partnership,Employed for wages,No,More than 2 weeks,Worried,3,5,0,3,3,2,3,3,2,3,3,2,3,4,1,3,3,2,3,5,0,3,2.2,Bad,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,3.5,1. Everyday,Fishing,Not,3,3,3,2,2,4,4,4,4,4,1,4,4,2,2,2,2,3,3,2,2,2,2,2,3,3,1,1,2,2,3,3,3,3,1,2,1,2,2,2,3,3,3,1,2,3,3,3,1,1,2,1,2,2,2,3,1,3,2,2,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
34,35,5/16/2020 13:49,Vietnamese,Vietnamese,Asia,Female,Secondary school,A pet,16,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,4,4,1,4,3,2,4,2,3,5,3,2,4,4,1,4,5,0,4,2,3,5,3.066666667,Bad,More than 3 years,"Action, Adventure, Simulation, Strategy, puzzle",Almost everyday,3.5,1. Everyday,Planting trees/flowers,i havent chosen an aesthetic for my island yet but i always try to add as much water scenery as possible,3,2,4,3,2,2,3,4,5,4,2,2,1,4,3,2,2,1,3,4,4,2,3,2,4,2,3,4,4,3,3,5,4,5,1,3,1,2,1,4,4,5,3,1,3,5,4,5,2,1,3,1,4,2,4,5,2,3,3,1,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No
35,36,5/16/2020 13:56,Vietnam,Vietnamese,Asia,Male,Graduate school and higher,A garden,19,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Very worried,3,4,1,5,3,2,5,1,4,4,2,3,3,2,3,3,3,2,3,2,3,4,3.2,Good,More than 3 years,"Action, Adventure, RPG, Simulation",Every week,2.5,1. Everyday,Terraforming,Secret and scary ,3,4,2,4,1,5,5,4,4,4,3,3,2,2,4,3,2,2,2,2,2,2,2,2,4,3,2,3,4,4,2,5,5,5,1,2,1,2,1,5,4,5,4,2,4,5,5,5,3,1,1,1,1,2,3,3,1,4,1,2,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
36,37,5/16/2020 15:15,Vieynam,Vietnamese,Asia,Male,Graduate school and higher,A pet,23,Asian,"Single, never married",Employed for wages,Yes,No self-isolation/social distancing,Very worried,3,5,0,2,3,2,3,4,1,2,5,0,2,4,1,1,4,1,2,3,2,3,1.666666667,Bad,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost every week,2.5,2. Almost everyday,Terraforming,Garden,3,3,3,3,3,2,2,2,3,3,3,4,1,1,4,4,4,4,3,4,4,4,3,4,4,4,4,2,3,2,1,2,2,3,1,3,3,3,1,2,1,3,3,1,3,3,3,3,3,1,1,1,1,1,3,3,1,1,1,1,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
37,38,5/16/2020 16:24,Vietnamese,Vietnamese,Asia,Female,Graduate school and higher,A pet,30,Asian,"Single, never married",A student,Yes,More than 3 weeks,Worried,4,3,2,4,3,2,4,1,4,4,4,1,4,4,1,4,4,1,5,2,3,5,3.2,Good,More than 3 years,"Action, RPG, Simulation",Almost everyday,5,1. Everyday,Collecting DIYs and stuff,Natural,3,3,4,2,2,5,5,5,5,4,1,3,1,3,3,2,2,2,4,3,4,2,3,1,3,4,2,2,5,5,4,4,5,5,2,4,3,4,1,5,4,5,5,1,4,4,5,5,5,2,2,1,5,3,5,4,2,5,5,2,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
